whois_regDate,whois_expDate,whois_updatedDate,dot_count,url_len,digit_count,special_count,hyphen_count,double_slash,single_slash,at_the_rate,protocol,protocol_count,web_traffic,label
8451,2870,422,1,10,0,0,0,0,0,0,0,0,0,1
5741,102,295,1,11,0,0,0,0,0,0,0,0,0,1
8419,345,720,1,9,0,0,0,0,0,0,0,0,0,1
7695,2166,545,1,9,0,0,0,0,0,0,0,0,0,1
9316,2455,6,1,6,0,0,0,0,0,0,0,0,0,1
8158,241,100,1,8,0,0,0,0,0,0,0,0,0,1
8621,2702,239,1,12,0,0,0,0,0,0,0,0,0,1
6407,167,685,1,10,0,0,0,0,0,0,0,0,0,1
6442,497,-1,1,6,3,0,0,0,0,0,0,0,0,1
9422,805,322,1,9,0,0,0,0,0,0,0,0,0,1
9500,1456,547,1,10,0,0,0,0,0,0,0,0,0,1
10263,1219,1499,1,6,0,0,0,0,0,0,0,0,0,1
7236,798,20,1,13,0,0,0,0,0,0,0,0,0,1
8021,394,-1,2,11,0,0,0,0,0,0,0,0,0,1
7900,1961,1301,1,9,0,0,0,0,0,0,0,0,0,1
6769,534,161,1,7,0,0,0,0,0,0,0,0,0,1
9443,52,140,1,8,0,0,0,0,0,0,0,0,0,1
7495,174,307,1,13,0,0,0,0,0,0,0,0,0,1
8394,370,392,1,11,0,0,0,0,0,0,0,0,0,1
5668,540,220,1,10,0,0,0,0,0,0,0,0,0,1
5103,740,790,1,11,0,0,0,0,0,0,0,0,0,1
10779,179,168,1,13,0,0,0,0,0,0,0,0,0,1
7869,166,128,1,10,0,0,0,0,0,0,0,0,0,1
8534,230,137,1,6,0,0,0,0,0,0,0,0,0,1
5360,483,180,1,13,0,0,0,0,0,0,0,0,0,1
5871,337,684,1,10,0,0,0,0,0,0,0,0,0,1
5997,2402,979,1,13,0,0,0,0,0,0,0,0,0,1
3206,1176,505,1,13,0,0,0,0,0,0,0,0,0,1
7909,491,175,1,8,0,0,0,0,0,0,0,0,0,1
-1,-1,-1,2,11,0,0,0,0,0,0,0,0,0,1
3883,134,846,1,8,0,0,0,0,0,0,0,0,0,1
7054,379,-1,2,13,0,0,0,0,0,0,0,0,0,1
2407,879,163,1,9,0,0,0,0,0,0,0,0,0,1
6693,246,128,1,19,0,0,0,0,0,0,0,0,0,1
8454,1040,14,1,9,0,0,0,0,0,0,0,0,0,1
4167,1311,176,1,9,0,0,0,0,0,0,0,0,0,1
9224,271,125,1,8,0,0,0,0,0,0,0,0,0,1
9046,86,311,1,8,0,0,0,0,0,0,0,0,0,1
6158,89,301,1,17,0,0,0,0,0,0,0,0,0,1
5316,162,716,1,14,0,0,0,0,0,0,0,0,0,1
5745,1193,542,1,9,0,0,0,0,0,0,0,0,0,1
7124,910,1556,1,9,0,0,0,0,0,0,0,0,0,1
8185,1311,-1,2,12,0,0,0,0,0,0,0,0,0,1
12406,193,201,1,9,0,0,0,0,0,0,0,0,0,1
6442,1593,-1,1,9,0,0,0,0,0,0,0,0,0,1
12312,107,153,1,9,0,0,0,0,0,0,0,0,0,1
-1,-1,-1,2,12,0,0,0,0,0,0,0,0,0,1
6344,230,161,2,12,0,0,0,0,0,0,0,0,0,1
3539,2570,1080,1,14,0,0,0,0,0,0,0,0,0,1
8443,329,-1,1,9,0,0,0,0,0,0,0,0,0,1
3948,799,296,1,14,0,0,0,0,0,0,0,0,0,1
6932,372,87,1,14,0,0,0,0,0,0,0,0,0,1
7593,77,292,1,11,0,0,0,0,0,0,0,0,0,1
9787,75,313,1,6,0,0,0,0,0,0,0,0,0,1
6761,178,458,1,11,0,0,0,0,0,0,0,0,0,1
9491,576,98,1,7,0,0,0,0,0,0,0,0,0,1
6577,727,64,1,12,0,0,0,0,0,0,0,0,0,1
6518,1151,281,1,10,0,0,0,0,0,0,0,0,0,1
8439,329,-1,1,7,0,0,0,0,0,0,0,0,0,1
9261,234,528,1,11,0,0,0,0,0,0,0,0,0,1
7309,360,617,1,11,0,0,0,0,0,0,0,0,0,1
6666,2099,456,1,8,2,0,0,0,0,0,0,0,0,1
8037,390,-1,1,5,0,0,0,0,0,0,0,0,0,1
6895,44,378,1,9,0,0,0,0,0,0,0,0,0,1
8783,346,716,1,8,4,0,0,0,0,0,0,0,0,1
5920,208,64,1,10,0,0,0,0,0,0,0,0,0,1
7551,483,277,1,13,0,0,0,0,0,0,0,0,0,1
6412,162,-1,1,7,0,0,0,0,0,0,0,0,0,1
6442,497,-1,1,9,0,0,0,0,0,0,0,0,0,1
6225,349,91,1,10,0,0,0,0,0,0,0,0,0,1
5557,1167,547,1,13,0,0,0,0,0,0,0,0,0,1
7842,193,202,2,13,0,0,0,0,0,0,0,0,0,1
9905,2146,939,1,7,0,0,0,0,0,0,0,0,0,1
9156,339,423,1,9,0,0,0,0,0,0,0,0,0,1
9070,1155,547,1,8,0,0,0,0,0,0,0,0,0,1
-1,-1,-1,2,12,0,0,0,0,0,0,0,0,0,1
4444,2494,517,1,12,0,0,0,0,0,0,0,0,0,1
3745,272,91,1,11,0,0,0,0,0,0,0,0,0,1
4317,65,330,1,9,0,0,0,0,0,0,0,0,0,1
5904,304,693,1,12,0,0,0,0,0,0,0,0,0,1
-1,-1,-1,1,9,0,0,0,0,0,0,0,0,0,1
9787,805,103,1,11,0,0,0,0,0,0,0,0,0,1
4903,1671,541,1,12,0,0,0,0,0,0,0,0,0,1
-1,759,60,2,12,0,0,0,0,0,0,0,0,0,1
9088,407,54,1,10,0,0,0,0,0,0,0,0,0,1
3365,287,133,1,11,0,0,0,0,0,0,0,0,0,1
5309,169,957,1,11,0,0,0,0,0,0,0,0,0,1
1367,458,241,1,7,0,0,0,0,0,0,0,0,0,1
6124,85,740,1,10,0,0,0,0,0,0,0,0,0,1
7765,2096,-1,2,10,0,0,0,0,0,0,0,0,0,1
11435,251,133,1,7,0,0,0,0,0,0,0,0,0,1
5994,214,133,1,10,0,0,0,0,0,0,0,0,0,1
8345,1149,565,1,11,0,0,0,0,0,0,0,0,0,1
8195,569,156,1,9,0,0,0,0,0,0,0,0,0,1
-1,-1,-1,2,13,0,0,0,0,0,0,0,0,0,1
5990,1679,90,1,8,0,0,0,0,0,0,0,0,0,1
3379,1003,751,1,13,0,0,0,0,0,0,0,0,0,1
5858,715,644,1,12,0,0,0,0,0,0,0,0,0,1
7874,526,1290,1,6,0,0,0,0,0,0,0,0,0,1
7406,55,342,1,9,0,0,0,0,0,0,0,0,0,1
7783,252,144,1,10,0,0,0,0,0,0,0,0,0,1
8237,162,234,1,11,0,0,0,0,0,0,0,0,0,1
8790,1069,15,1,10,0,0,0,0,0,0,0,0,0,1
7294,740,20,1,10,3,0,0,0,0,0,0,0,0,1
5893,2562,923,1,10,0,0,0,0,0,0,0,0,0,1
9528,332,76,1,8,0,0,0,0,0,0,0,0,0,1
4709,39,325,1,14,0,0,0,0,0,0,0,0,0,1
7408,261,75,1,13,0,0,0,0,0,0,0,0,0,1
3882,2326,1127,1,15,0,0,0,0,0,0,0,0,0,1
6691,613,-1,2,11,0,0,0,0,0,0,0,0,0,1
5263,945,321,1,10,0,0,0,0,0,0,0,0,0,1
5581,215,181,1,14,0,0,0,0,0,0,0,0,0,1
-1,-1,-1,1,9,0,0,0,0,0,0,0,0,0,1
8748,381,12,1,14,0,0,0,0,0,0,0,0,0,1
1422,1499,546,1,20,0,0,0,0,0,0,0,0,0,1
6090,119,-1,1,9,0,0,0,0,0,0,0,0,0,1
6442,3054,-1,1,4,1,0,0,0,0,0,0,0,0,1
3408,244,132,1,12,0,0,0,0,0,0,0,0,0,1
6169,40,694,1,12,0,0,0,0,0,0,0,0,0,1
-1,-1,-1,1,9,0,0,0,0,0,0,0,0,0,1
4720,2584,701,1,9,1,0,0,0,0,0,0,0,0,1
6202,1468,156,1,11,0,0,0,0,0,0,0,0,0,1
4965,148,246,1,12,0,0,0,0,0,0,0,0,0,1
4163,219,209,1,17,0,0,0,0,0,0,0,0,0,1
8008,715,218,1,14,0,0,0,0,0,0,0,0,0,1
4775,703,57,1,10,0,0,0,0,0,0,0,0,0,1
6327,2438,119,1,16,0,0,0,0,0,0,0,0,0,1
5803,40,357,1,9,0,0,0,0,0,0,0,0,0,1
